,NAME,Batting style,Runs,Balls Faced,Dismissals,Batting Average,Batting Strike Rate
452,CV Varun,Right-hand bat,0,0,0,,
453,Darshan Nalkande,Right-hand bat,0,0,0,,
454,D Padikkal,Left-hand bat,473,379,15,31.533333333333335,124.80211081794195
455,Y Prithvi Raj,Left-hand bat,0,0,0,,
456,Kartik Tyagi,Right-hand bat,0,0,0,,
457,Arshdeep Singh,Left-hand bat,0,3,1,0.0,0.0
458,Aryaman Birla,Left-hand bat,0,0,0,,
459,S Midhun,Right-hand bat,0,0,0,,
460,Mohsin Khan,Left-hand bat,0,0,0,,
461,YBK Jaiswal,Left-hand bat,40,44,3,13.333333333333334,90.9090909090909
462,Shahbaz Ahmed,Left-hand bat,0,0,0,,
463,P Ray Barman,Right-hand bat,0,0,0,,
464,P Simran Singh,Right-hand bat,0,0,0,,
465,Rasikh Salam,Right-hand bat,0,0,0,,
466,Harpreet Brar,Left-hand bat,0,0,0,,
467,Ravi Bishnoi,Right-hand bat,0,0,3,0.0,
468,Abdul Samad,Right-hand bat,0,0,0,,
