,NAME,Bowling style,Balls Bowled,Wickets Taken,Runs Conceded,Bowling Average,Bowling Strike Rate,Bowling Economy Rate
390,Pankaj Jaiswal,Right-arm medium,0,0,0,,,0.0
391,Monu Kumar,Right-arm medium,0,0,0,,,0.0
392,Avesh Khan,Right-arm medium-fast,0,0,0,,,0.0
393,NA Saini,Right-arm medium,562,17,795,46.76470588235294,33.05882352941177,8.487544483985765
394,S Dube,Right-arm medium,64,4,83,20.75,16.0,7.78125
395,Shivam Sharma,Right-arm offbreak,0,0,0,,,0.0
396,Pratyush Singh,Legbreak googly,0,0,0,,,0.0
397,Washington Sundar,Right-arm offbreak,0,0,0,,,0.0
398,Ishan Kishan,,0,0,0,,,0.0
399,Jitesh Sharma,,0,0,0,,,0.0
400,RK Singh,Right-arm offbreak,0,0,0,,,0.0
401,Aditya Garhwal,Legbreak googly,0,0,0,,,0.0
402,Sharad Lumba,Right-arm offbreak,0,0,0,,,0.0
403,Basil Thampi,Right-arm fast-medium,0,0,0,,,0.0
404,Vishnu Vinod,,0,0,0,,,0.0
405,Sayan Ghosh,Right-arm medium,0,0,0,,,0.0
406,P Dubey,Legbreak googly,48,0,72,inf,inf,9.0
407,KC Cariappa,Legbreak,216,8,349,43.625,27.0,9.694444444444445
408,Tanmay Agarwal,Legbreak googly,0,0,0,,,0.0
409,T Natarajan,Left-arm medium,453,18,636,35.333333333333336,25.166666666666668,8.42384105960265
410,Himmat Singh,Right-arm offbreak,0,0,0,,,0.0
411,Deepak Punia,Right-arm medium,0,0,0,,,0.0
412,TU Deshpande,Right-arm medium,102,3,193,64.33333333333333,34.0,11.352941176470589
413,MD Nidheesh,Right-arm medium,0,0,0,,,0.0
414,Kanishk Seth,Left-arm medium,0,0,0,,,0.0
415,Anmolpreet Singh,Right-arm offbreak,0,0,0,,,0.0
416,NB Singh,Right-arm medium,24,1,18,18.0,24.0,4.5
417,MK Lomror,Slow left-arm orthodox,18,0,27,inf,inf,9.0
418,Sagar Trivedi,Right-arm medium,0,0,0,,,0.0
419,KK Jiyas,Slow left-arm chinaman,0,0,0,,,0.0
420,M Prasidh Krishna,Right-arm medium,0,0,0,,,0.0
421,S Kaushik,Slow left-arm chinaman,204,6,304,50.666666666666664,34.0,8.941176470588236
422,Kishore Kamath,Legbreak,0,0,0,,,0.0
423,RR Pant,,0,0,0,,,0.0
424,Mohammed Siraj,Right-arm medium-fast,0,0,0,,,0.0
425,Mayank Dagar,Slow left-arm orthodox,0,0,0,,,0.0
426,KK Ahmed,Left-arm medium,381,28,576,20.571428571428573,13.607142857142858,9.070866141732283
427,Armaan Jaffer,Right-arm offbreak,0,0,0,,,0.0
428,Milind Tandon,,0,0,0,,,0.0
429,N Jagadeesan,,0,0,0,,,0.0
430,Sanjay Yadav,Slow left-arm orthodox,0,0,0,,,0.0
