,NAME,COUNTRY,Full name,Major teams,Batting style,Bowling style,sname,foreign,Bat,Bowl,Spin/Medium
365,B Sumanth,India,Bodapati Apparao Sumanth,"['Deccan Chargers,', 'India Under-19s']",Right-hand bat,Right-arm medium-fast,BA Sumanth,0,Right,Right,medium
366,Harshad Khadiwale,India,Harshad Hemantkumar Khadiwale,"['India Under-19s,', 'Kolkata Knight Riders,', 'Maharashtra,', 'Pune Warriors']",Right-hand bat,Right-arm medium-fast,HH Khadiwale,0,Right,Right,medium
367,V Kohli,India,Virat Kohli,"['India,', 'Delhi,', 'India Red,', 'India Under-19s,', 'Royal Challengers Bangalore']",Right-hand bat,Right-arm medium,V Kohli,0,Right,Right,medium
368,Amanpreet Singh,India,Amanpreet Singh Gill,"['India Under-19s,', 'Kings XI Punjab,', 'Punjab']",Right-hand bat,Right-arm medium-fast,AS Gill,0,Right,Right,medium
369,NM Coulter-Nile,Australia,Nathan Mitchell Coulter-Nile,"['Australia,', 'Australia A,', 'Australia Under-19s,', 'Delhi Daredevils,', 'Fremantle,', 'Kolkata Knight Riders,', 'Mumbai Indians,', 'Perth Scorchers,', 'Perth Scorchers,', 'Royal Challengers Bangalore,', 'Western Australia,', 'Western Australia Second XI,', 'Western Australia Under-19s,', 'Western Australia XI']",Right-hand bat,Right-arm fast,NM Coulter-Nile,1,Right,Right,fast
370,Robin Bist,India,Robin Bist,"['Central Zone,', 'Delhi Daredevils,', 'India A,', 'Rajasthan,', ""Rajasthan Cricket Association President's XI""]",Right-hand bat,Right-arm offbreak,R Bist,0,Right,Right,off
371,UA Birla,India,Udit Alok Birla,"['Madhya Pradesh,', 'Maharashtra XI,', 'Pune Warriors']",Right-hand bat,Right-arm medium,UA Birla,0,Right,Right,medium
372,WD Parnell,South Africa,Wayne Dillon Parnell,"['South Africa,', 'Barbados Tridents,', 'Cape Cobras,', 'Delhi Daredevils,', 'Eastern Province,', 'Edmonton Royals,', 'Islamabad United,', 'Kent,', 'Pune Warriors,', 'South Africa A,', 'South Africa Under-19s,', 'Sussex,', 'Warriors,', 'Western Province']",Left-hand bat,Left-arm medium-fast,WD Parnell,1,Left,Left,medium
373,SPD Smith,Australia,Steven Peter Devereux Smith,"['Australia,', 'Antigua Hawksbills,', 'Australia A,', 'Australian Institute of Sports,', 'Barbados Tridents,', 'Kent 2nd XI,', 'Kochi Tuskers Kerala,', 'New South Wales,', 'New South Wales Second XI,', 'New South Wales Under-19s,', 'Pune Warriors,', 'Rajasthan Royals,', 'Rising Pune Supergiants,', 'Royal Challengers Bangalore,', 'Sutherland,', 'Sydney Sixers,', 'Sydney South East,', 'Toronto Nationals,', 'Worcestershire']",Right-hand bat,Legbreak googly,SPD Smith,1,Right,Right,leg
374,BAW Mendis,Sri Lanka,Balapuwaduge Ajantha Winslow Mendis,"['Sri Lanka,', 'Combined Provinces,', 'Dhaka Gladiators,', 'Hampshire,', 'Kandurata Maroons,', 'Kolkata Knight Riders,', 'Lahore Qalandars,', 'Mohammedan Sporting Club,', 'Pune Warriors,', 'Sri Lanka Army,', ""Sri Lanka Board President's XI,"", 'Wayamba']",Right-hand bat,Right-arm offbreak,BAW Mendis,1,Right,Right,off
375,KP Appanna,India,Kotarangada Prabhu Appanna,"['Karnataka,', 'Royal Challengers Bangalore,', 'South Zone']",Right-hand bat,Slow left-arm orthodox,KP Appanna,0,Right,Right,slow
376,Eklak Ahmid,India,Eklak Ahmid,"['Bengal,', 'Kolkata Knight Riders,', 'Kolkata Tigers']",Left-hand bat,Left-arm medium-fast,E Ahmid,0,Left,Left,medium
377,Akshay Wakhare,India,Akshay Anil Wakhare,"['Central Zone,', 'Mumbai Indians,', 'Vidarbha,', 'Vidarbha Cricket Association XI']",Right-hand bat,Right-arm offbreak,AA Wakhare,0,Right,Right,off
378,JP Faulkner,Australia,James Peter Faulkner,"['Australia,', 'Australia A,', 'Australia Under-19s,', 'Gujarat Lions,', 'Hobart Hurricanes,', 'Kings XI Punjab,', 'Lancashire,', 'Launceston,', 'Melbourne Stars,', 'Pune Warriors,', 'Rajasthan Royals,', 'Tasmania,', 'Tasmania Second XI,', 'Tasmania Under-19s']",Right-hand bat,Left-arm fast-medium,JP Faulkner,1,Right,Left,medium
379,Sunny Gupta,India,Sunny Gupta,"['Delhi Daredevils,', 'Tamil Nadu']",Right-hand bat,Right-arm offbreak,S Gupta,0,Right,Right,off
380,KW Richardson,Australia,Kane William Richardson,"['Australia,', 'Adelaide Strikers,', 'Australia A,', 'Australia Under-19s,', 'East Torrens,', 'Melbourne Renegades,', 'Northern Territory,', 'Northern Territory Under-19s,', 'PINT Cricket Club,', 'Pune Warriors,', 'Rajasthan Royals,', 'Royal Challengers Bangalore,', 'South Australia,', 'South Australia Under-19s,', 'South Australia Under-23s,', 'Waratahs (Dalby),', 'Woodville']",Right-hand bat,Right-arm fast-medium,KW Richardson,1,Right,Right,medium
